Threshold,Accuracy,Precision,Recall,F1 Score
60,1.0,1.0,1.0,1.0
70,1.0,1.0,1.0,1.0
80,1.0,1.0,1.0,1.0
90,0.99,0.99,1.0,0.99
100,0.96,0.96,1.0,0.98
110,0.91,0.91,1.0,0.96
120,0.82,0.83,0.99,0.9
130,0.62,0.7,0.78,0.74
140,0.47,0.22,0.01,0.01
150,0.66,1.0,0.0,0.0
160,0.82,1.0,0.0,0.0
170,0.92,1.0,0.0,0.0
180,0.98,1.0,0.0,0.0
190,0.99,1.0,0.0,0.0
