Actual_Heart_Rate,Predicted_Heart_Rate
146.0,129.47
159.0,128.83
161.0,130.27
162.0,131.89
107.0,135.87
111.0,131.34
117.0,133.22
127.0,130.9
131.0,132.0
131.0,133.92
135.0,129.3
135.0,132.25
138.0,132.07
144.0,133.19
127.0,130.5
127.0,132.38
111.0,130.17
105.0,129.51
115.0,132.34
144.0,133.23
122.0,134.18
127.0,132.77
140.0,132.2
154.0,132.59
140.0,129.49
145.0,129.57
158.0,130.96
145.0,134.88
127.0,128.21
147.0,132.23
141.0,131.34
143.0,132.18
154.0,131.55
156.0,133.24
143.0,131.48
157.0,131.19
159.0,132.48
160.0,133.93
156.0,132.37
150.0,126.5
141.0,124.81
139.0,125.98
143.0,129.71
152.0,132.47
157.0,133.6
154.0,129.2
158.0,130.54
156.0,132.18
150.0,125.95
169.0,129.4
174.0,133.12
178.0,133.89
173.0,134.14
163.0,124.33
147.0,126.72
135.0,131.0
138.0,127.93
147.0,134.08
142.0,131.36
155.0,132.43
142.0,128.41
157.0,132.85
161.0,131.56
161.0,132.68
155.0,132.25
154.0,132.27
157.0,128.89
153.0,122.85
150.0,128.46
156.0,131.18
157.0,129.14
153.0,126.96
154.0,131.06
159.0,130.58
154.0,132.43
170.0,132.66
168.0,134.09
162.0,133.47
154.0,132.13
137.0,128.77
136.0,126.18
131.0,124.81
144.0,129.61
138.0,131.33
123.0,130.47
126.0,130.77
153.0,131.24
157.0,132.93
159.0,133.13
156.0,133.68
150.0,127.63
155.0,130.63
143.0,128.81
136.0,130.41
137.0,132.42
155.0,129.94
148.0,131.56
138.0,131.25
158.0,127.73
142.0,131.63
142.0,131.6
153.0,131.12
153.0,132.12
146.0,133.54
104.0,135.4
115.0,133.69
128.0,132.91
146.0,133.22
162.0,127.26
145.0,134.8
138.0,133.93
128.0,133.15
131.0,134.02
132.0,133.85
150.0,132.07
148.0,134.23
155.0,136.78
146.0,135.54
142.0,134.2
133.0,133.9
136.0,131.73
138.0,132.87
154.0,134.33
140.0,134.78
130.0,132.96
110.0,132.49
124.0,132.28
122.0,133.1
140.0,131.67
162.0,136.32
138.0,135.5
138.0,132.31
149.0,132.94
156.0,134.58
144.0,133.29
140.0,132.14
117.0,128.77
131.0,130.75
139.0,132.98
150.0,132.98
148.0,132.11
141.0,133.84
144.0,130.32
125.0,128.6
142.0,129.51
149.0,131.9
150.0,131.34
148.0,130.41
160.0,130.65
149.0,132.3
155.0,132.0
138.0,133.53
144.0,130.72
151.0,131.7
144.0,129.51
137.0,131.77
140.0,130.78
156.0,132.93
134.0,129.86
155.0,134.03
134.0,129.51
122.0,127.2
142.0,130.23
142.0,130.92
153.0,131.86
143.0,126.17
158.0,134.72
160.0,133.47
127.0,131.47
116.0,125.34
139.0,131.8
113.0,130.81
128.0,131.64
154.0,133.87
156.0,134.45
167.0,134.12
137.0,127.77
138.0,131.3
129.0,129.45
135.0,125.95
145.0,126.67
136.0,125.51
145.0,131.59
122.0,126.82
157.0,130.17
131.0,132.1
173.0,128.3
175.0,128.69
174.0,126.49
165.0,124.33
170.0,123.86
174.0,127.98
177.0,124.47
170.0,123.98
177.0,119.82
144.0,127.47
130.0,131.92
131.0,131.56
149.0,131.22
139.0,130.85
177.0,124.49
151.0,129.48
127.0,131.84
134.0,133.96
121.0,135.79
126.0,131.46
138.0,133.01
144.0,131.82
136.0,132.73
144.0,133.97
145.0,130.1
141.0,131.19
141.0,132.27
156.0,134.86
138.0,131.26
160.0,132.51
138.0,130.41
129.0,130.42
133.0,130.18
144.0,130.91
162.0,133.45
151.0,135.16
153.0,132.58
164.0,131.51
164.0,131.72
159.0,129.58
152.0,130.58
162.0,130.62
167.0,134.06
155.0,129.83
165.0,128.64
157.0,131.4
167.0,130.83
167.0,130.94
163.0,135.45
160.0,132.73
166.0,130.39
164.0,131.48
168.0,133.21
166.0,132.84
165.0,128.75
160.0,125.34
155.0,124.66
161.0,129.76
166.0,135.18
164.0,133.32
163.0,130.66
162.0,132.84
158.0,129.62
166.0,130.43
171.0,134.77
175.0,135.11
176.0,135.39
168.0,127.35
162.0,125.33
147.0,127.96
148.0,127.07
166.0,130.46
167.0,131.5
162.0,131.91
155.0,127.83
163.0,130.11
167.0,131.56
168.0,133.35
160.0,132.85
159.0,132.24
158.0,132.53
144.0,126.01
143.0,127.79
137.0,130.55
159.0,132.1
147.0,127.33
157.0,127.56
157.0,129.87
152.0,132.07
166.0,133.78
164.0,135.49
168.0,134.0
164.0,132.84
140.0,130.55
139.0,128.73
140.0,125.06
147.0,126.11
158.0,129.1
157.0,130.19
149.0,127.83
146.0,129.91
162.0,130.47
164.0,132.45
164.0,133.21
165.0,132.25
151.0,128.04
161.0,130.42
153.0,128.61
155.0,129.47
155.0,130.75
150.0,131.74
151.0,131.6
155.0,129.04
157.0,129.15
144.0,131.28
146.0,131.46
158.0,130.32
155.0,133.75
122.0,137.57
132.0,134.31
130.0,134.08
136.0,133.04
142.0,134.23
144.0,133.56
139.0,130.54
134.0,134.88
145.0,132.67
148.0,130.0
150.0,129.59
152.0,129.26
152.0,130.34
163.0,130.32
166.0,131.71
167.0,133.04
166.0,134.38
164.0,132.89
160.0,128.75
159.0,125.19
160.0,125.27
163.0,130.18
165.0,131.21
166.0,133.65
170.0,133.53
165.0,131.86
164.0,132.5
165.0,129.19
163.0,128.34
163.0,129.46
169.0,129.2
